model,accuracy,macro_f1,training_time_seconds
random_forest,0.89375,0.8928532422372417,0.27231437497539446
gradient_boosting,0.88125,0.8796979407308045,1.042189583007712
logistic_regression,0.86875,0.8688860159448395,0.006746624974766746
dummy,0.25,0.1,0.00029054199694655836
