feature,importance_mean,importance_std
specific_heat_relative_error,0.1634255326424683,0.021233163949136564
specific_heat_abs_relative_error,0.10617021243449024,0.018283226458869897
peak_to_final_drop,0.047551162085882434,0.010272950179655422
second_difference_scale,0.033840658257074205,0.006094502090933171
monotonic_rise_fraction,0.028463931947846754,0.011354362299281417
sample_mass_g,0.022099887622709848,0.0030729453110467826
apparent_specific_heat_j_kg_k,0.008869205160531246,0.009424951553451305
late_std,0.005995980725371131,0.005449545506679944
post_peak_decline_fraction,0.0048763001704177356,0.002438150085208868
max_abs_jump,0.0027671622670237817,0.006793827136995913
late_robust_scale,0.0024381500852088678,0.002986111812542527
time_temperature_corr,5.806984487843891e-06,0.004116041897225912
reference_specific_heat_j_kg_k,0.0,0.0
temperature_range,0.0,0.0
initial_delta_temperature,0.0,0.0
water_mass_g,-0.001189731929052118,0.004759760829764004
mass_ratio,-0.0024369014238695198,0.0029845854155864195
temperature_mean,-0.0026312461688877686,0.003153522349704045
apparent_specific_heat_log,-0.0035819165894984462,0.0031795573798824384
peak_time_fraction,-0.004877430299567731,0.006175015075666927
mixing_amplitude,-0.004950110009509579,0.0024800898167081763
calorimeter_heat_capacity_j_k,-0.006414570381738672,0.003983218543185278
temperature_std,-0.006418703959095717,0.00882420140978742
temperature_normalized_slope,-0.007523068605041305,0.006276330706809706
late_slope,-0.010761609934929828,0.012520361112663345
final_temperature,-0.012320874680783134,0.003945401690156458
peak_temperature,-0.013534682752197935,0.0025848850745844435
