model,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,training_time_seconds,selected
random_forest,0.8625,0.8625,0.8619843174025352,0.32241629700001795,True
gradient_boosting,0.81875,0.81875,0.8186395798827619,0.6538111180002488,False
logistic_regression,0.7625,0.7625000000000001,0.7630119136262099,0.024042862999976933,False
dummy,0.25,0.25,0.1,0.0003641379998953198,False
