,precision,recall,f1-score,support
high_noise,0.975609756097561,1.0,0.9876543209876543,40.0
normal,0.7659574468085106,0.9,0.8275862068965517,40.0
sensor_drift,0.8888888888888888,0.8,0.8421052631578947,40.0
single_outlier,1.0,0.9,0.9473684210526315,40.0
accuracy,0.9,0.9,0.9,0.9
macro avg,0.9076140229487402,0.9,0.901178553023683,160.0
weighted avg,0.90761402294874,0.9,0.901178553023683,160.0
