model,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,training_time_seconds,selected
random_forest,0.98125,0.98125,0.9812470698546647,0.2859708959999807,True
gradient_boosting,0.98125,0.98125,0.9812470698546647,0.7183473770001001,False
logistic_regression,0.975,0.975,0.9750761837787154,0.008096825000393437,False
dummy,0.25,0.25,0.1,0.0002598510000098031,False
