experiment_id,measurement_number,time_seconds,measured_temperature,sensor_id,condition,source_file,sheet_name,data_origin
dataset_2_cooling_with_pcm_600lph_atlasiti_der_gie_t4,1,0.0,64.11,t4,with_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_2_Cooling with PCM_600lph.xlsx,Atlasiti derīgie,real
dataset_2_cooling_with_pcm_600lph_atlasiti_der_gie_t4,2,1.0,64.11,t4,with_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_2_Cooling with PCM_600lph.xlsx,Atlasiti derīgie,real
dataset_2_cooling_with_pcm_600lph_atlasiti_der_gie_t4,3,2.0,64.12,t4,with_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_2_Cooling with PCM_600lph.xlsx,Atlasiti derīgie,real
dataset_2_cooling_with_pcm_600lph_atlasiti_der_gie_t4,4,3.0,64.08,t4,with_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_2_Cooling with PCM_600lph.xlsx,Atlasiti derīgie,real
dataset_2_cooling_with_pcm_600lph_atlasiti_der_gie_t4,5,4.0,64.07,t4,with_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_2_Cooling with PCM_600lph.xlsx,Atlasiti derīgie,real
dataset_2_cooling_with_pcm_600lph_atlasiti_der_gie_t4,6,5.0,64.08,t4,with_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_2_Cooling with PCM_600lph.xlsx,Atlasiti derīgie,real
dataset_2_cooling_with_pcm_600lph_atlasiti_der_gie_t4,7,6.0,64.08,t4,with_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_2_Cooling with PCM_600lph.xlsx,Atlasiti derīgie,real
dataset_2_cooling_with_pcm_600lph_atlasiti_der_gie_t4,8,7.0,64.07,t4,with_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_2_Cooling with PCM_600lph.xlsx,Atlasiti derīgie,real
dataset_2_cooling_with_pcm_600lph_atlasiti_der_gie_t4,9,8.0,64.08,t4,with_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_2_Cooling with PCM_600lph.xlsx,Atlasiti derīgie,real
dataset_2_cooling_with_pcm_600lph_atlasiti_der_gie_t4,10,9.0,64.08,t4,with_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_2_Cooling with PCM_600lph.xlsx,Atlasiti derīgie,real
dataset_2_cooling_with_pcm_600lph_atlasiti_der_gie_t4,11,10.0,64.07,t4,with_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_2_Cooling with PCM_600lph.xlsx,Atlasiti derīgie,real
dataset_2_cooling_with_pcm_600lph_atlasiti_der_gie_t4,12,11.0,64.06,t4,with_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_2_Cooling with PCM_600lph.xlsx,Atlasiti derīgie,real
dataset_2_cooling_with_pcm_600lph_atlasiti_der_gie_t4,13,12.0,64.04,t4,with_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_2_Cooling with PCM_600lph.xlsx,Atlasiti derīgie,real
dataset_2_cooling_with_pcm_600lph_atlasiti_der_gie_t4,14,13.0,64.02,t4,with_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_2_Cooling with PCM_600lph.xlsx,Atlasiti derīgie,real
dataset_2_cooling_with_pcm_600lph_atlasiti_der_gie_t4,15,14.0,64.01,t4,with_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_2_Cooling with PCM_600lph.xlsx,Atlasiti derīgie,real
dataset_2_cooling_with_pcm_600lph_atlasiti_der_gie_t4,16,15.0,63.99,t4,with_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_2_Cooling with PCM_600lph.xlsx,Atlasiti derīgie,real
dataset_2_cooling_with_pcm_600lph_atlasiti_der_gie_t4,17,16.0,63.99,t4,with_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_2_Cooling with PCM_600lph.xlsx,Atlasiti derīgie,real
dataset_2_cooling_with_pcm_600lph_atlasiti_der_gie_t4,18,17.0,63.96,t4,with_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_2_Cooling with PCM_600lph.xlsx,Atlasiti derīgie,real
dataset_2_cooling_with_pcm_600lph_atlasiti_der_gie_t4,19,18.0,63.81,t4,with_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_2_Cooling with PCM_600lph.xlsx,Atlasiti derīgie,real
dataset_2_cooling_with_pcm_600lph_atlasiti_der_gie_t4,20,19.0,60.99,t4,with_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_2_Cooling with PCM_600lph.xlsx,Atlasiti derīgie,real
dataset_2_cooling_with_pcm_600lph_atlasiti_der_gie_t4,21,20.0,53.56,t4,with_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_2_Cooling with PCM_600lph.xlsx,Atlasiti derīgie,real
dataset_2_cooling_with_pcm_600lph_atlasiti_der_gie_t4,22,21.0,44.27,t4,with_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_2_Cooling with PCM_600lph.xlsx,Atlasiti derīgie,real
