experiment_id,measurement_number,time_seconds,measured_temperature,sensor_id,condition,source_file,sheet_name,data_origin
dataset_1_cooling_without_pcm_600lph_data_flowrate,33,32.0,0.618,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,34,33.0,0.59,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,35,34.0,0.615,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,36,35.0,0.614,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,37,36.0,0.618,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,38,37.0,0.581,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,39,38.0,0.615,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,40,39.0,0.602,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,41,40.0,0.615,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,42,41.0,0.596,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,43,42.0,0.709,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,44,43.0,0.657,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,45,44.0,0.669,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,46,45.0,0.626,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,47,46.0,0.569,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,48,47.0,0.678,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,49,48.0,0.655,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,50,49.0,0.633,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,51,50.0,0.669,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,52,51.0,0.689,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,53,52.0,0.669,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,54,53.0,0.667,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,55,54.0,0.66,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,56,55.0,0.66,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,57,56.0,0.654,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,58,57.0,0.629,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
