,precision,recall,f1-score,support
air_leak,0.9459459459459459,0.875,0.9090909090909091,40.0
normal,0.8837209302325582,0.95,0.9156626506024096,40.0
temperature_change,1.0,1.0,1.0,40.0
volume_measurement_error,1.0,1.0,1.0,40.0
accuracy,0.95625,0.95625,0.95625,0.95625
macro avg,0.957416719044626,0.95625,0.9561883899233297,160.0
weighted avg,0.9574167190446261,0.95625,0.9561883899233298,160.0
