lab_id,rank,feature,importance,evaluation_note
heat_balance,16,water_mass_g,0.0069412116348627866,native_importance_from_deployed_tree_model
heat_balance,17,final_temperature,0.00617171967200348,native_importance_from_deployed_tree_model
heat_balance,18,apparent_specific_heat_j_kg_k,0.005230392347805014,native_importance_from_deployed_tree_model
heat_balance,19,temperature_mean,0.003700275719712602,native_importance_from_deployed_tree_model
heat_balance,20,peak_temperature,0.00323942258662838,native_importance_from_deployed_tree_model
heat_balance,21,post_peak_decline_fraction,0.0024537622621196337,native_importance_from_deployed_tree_model
heat_balance,22,calorimeter_heat_capacity_j_k,0.0019179484010625066,native_importance_from_deployed_tree_model
heat_balance,23,initial_delta_temperature,0.0015111646675438676,native_importance_from_deployed_tree_model
heat_balance,24,temperature_range,0.001443865380906977,native_importance_from_deployed_tree_model
heat_balance,25,mixing_amplitude,0.0014218284197118044,native_importance_from_deployed_tree_model
heat_balance,26,reference_specific_heat_j_kg_k,0.0,native_importance_from_deployed_tree_model
heat_balance,27,late_robust_scale,0.0,native_importance_from_deployed_tree_model
isochoric,1,pt_ratio_normalized_slope,0.13120558634548168,native_importance_from_deployed_tree_model
isochoric,2,volume_std,0.1301055307829157,native_importance_from_deployed_tree_model
isochoric,3,volume_range_relative,0.1250662285481203,native_importance_from_deployed_tree_model
isochoric,4,pt_ratio_cv,0.08195535522666657,native_importance_from_deployed_tree_model
isochoric,5,pt_ratio_robust_scale,0.07635710374738254,native_importance_from_deployed_tree_model
isochoric,6,residual_normalized_slope,0.07460538592873901,native_importance_from_deployed_tree_model
isochoric,7,pt_ratio_first_last_change,0.07007752769278429,native_importance_from_deployed_tree_model
isochoric,8,pt_ratio_std,0.06745050040044383,native_importance_from_deployed_tree_model
isochoric,9,volume_normalized_slope,0.03821014566187977,native_importance_from_deployed_tree_model
isochoric,10,pressure_std,0.028614601442271414,native_importance_from_deployed_tree_model
isochoric,11,pressure_range,0.027590179412750847,native_importance_from_deployed_tree_model
isochoric,12,pt_ratio_mean,0.0209147209437336,native_importance_from_deployed_tree_model
isochoric,13,fit_rmse_relative,0.01943226663690508,native_importance_from_deployed_tree_model
isochoric,14,linear_fit_r2,0.01867863171798777,native_importance_from_deployed_tree_model
isochoric,15,lagged_corr_max,0.015112884579875158,native_importance_from_deployed_tree_model
isochoric,16,pressure_temperature_corr,0.014544022290989009,native_importance_from_deployed_tree_model
isochoric,17,max_volume_jump_relative,0.012485825507911686,native_importance_from_deployed_tree_model
isochoric,18,residual_robust_scale,0.008580659318587201,native_importance_from_deployed_tree_model
isochoric,19,max_pressure_jump_relative,0.00857041053533841,native_importance_from_deployed_tree_model
isochoric,20,pressure_mean,0.007881653196107829,native_importance_from_deployed_tree_model
isochoric,21,temperature_mean,0.006043979875140125,native_importance_from_deployed_tree_model
isochoric,22,best_lag_fraction,0.004834725562067261,native_importance_from_deployed_tree_model
isochoric,23,temperature_std,0.0027904087417702454,native_importance_from_deployed_tree_model
isochoric,24,temperature_range,0.0025057263503597987,native_importance_from_deployed_tree_model
isochoric,25,heating_duration_s,0.0024175418510787557,native_importance_from_deployed_tree_model
isochoric,26,volume_mean,0.0019894811559735734,native_importance_from_deployed_tree_model
isochoric,27,max_temperature_jump_relative,0.0019789165467386954,native_importance_from_deployed_tree_model
