mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,mean_test_macro_f1,std_test_macro_f1,rank_test_macro_f1,mean_train_macro_f1,std_train_macro_f1,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,mean_train_accuracy,std_train_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,mean_train_balanced_accuracy,std_train_balanced_accuracy
0.22841254870096842,0.000574445354840864,0.011663118998209635,7.978402257566633e-05,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 250}",0.8964780388678498,0.013342388673881118,1,0.982248038587399,0.002947941716230488,0.8979166666666667,0.012842529172852037,1,0.9822916666666667,0.0029462782549439376,0.8979166666666667,0.012842529172852024,1,0.9822916666666667,0.0029462782549439376
0.22776261965433756,0.0006411555494788493,0.011594613393147787,0.00010795375153787452,"{""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 250}",0.8964780388678498,0.013342388673881118,1,0.982248038587399,0.002947941716230488,0.8979166666666667,0.012842529172852037,1,0.9822916666666667,0.0029462782549439376,0.8979166666666667,0.012842529172852024,1,0.9822916666666667,0.0029462782549439376
0.4128510157267253,0.0029170297164941867,0.018824974695841473,7.280798377344596e-05,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 450}",0.8963929644887788,0.013055342881659824,3,0.9801819782025074,0.0038965230061674275,0.8979166666666667,0.012842529172852037,1,0.9802083333333332,0.0038975597778895285,0.8979166666666667,0.012842529172851983,1,0.9802083333333332,0.0038975597778895285
0.41317200660705566,0.0024094109606402486,0.019267956415812176,0.000377316733469835,"{""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 450}",0.8963929644887788,0.013055342881659824,3,0.98121893357437,0.00255377239758054,0.8979166666666667,0.012842529172852037,1,0.9812500000000001,0.002551551815399135,0.8979166666666667,0.012842529172851983,1,0.9812499999999998,0.00255155181539918
0.4122146765391032,0.0033927382129792685,0.018666903177897137,0.00011318302473777969,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 450}",0.8963929644887788,0.013055342881659824,3,0.98121893357437,0.00255377239758054,0.8979166666666667,0.012842529172852037,1,0.9812500000000001,0.002551551815399135,0.8979166666666667,0.012842529172851983,1,0.9812499999999998,0.00255155181539918
0.234479029973348,0.007887889731990585,0.011713266372680664,0.00012301674779643758,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 250}",0.8963754221358781,0.013233156886362219,6,0.9791396648582561,0.0029492882093585192,0.8979166666666667,0.012842529172852037,1,0.9791666666666666,0.0029462782549439376,0.8979166666666667,0.012842529172851983,1,0.9791666666666666,0.0029462782549439376
0.2788856824239095,0.011332217791164672,0.012050708134969076,0.0001501112523887164,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 250}",0.8941532659328463,0.0025036864427476686,7,1.0,0.0,0.8958333333333334,0.0029462782549439376,7,1.0,0.0,0.8958333333333334,0.0029462782549439376,7,1.0,0.0
0.24041001001993814,0.0013876680409768462,0.011865377426147461,8.516116743431276e-05,"{""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 250}",0.8920403608840614,0.0061728075625520655,8,1.0,0.0,0.8937500000000002,0.005103103630798315,8,1.0,0.0,0.8937500000000002,0.005103103630798315,8,1.0,0.0
0.24158438046773276,0.0018862068597846223,0.011868635813395182,0.00018209689718336788,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 250}",0.8920403608840614,0.0061728075625520655,8,1.0,0.0,0.8937500000000002,0.005103103630798315,8,1.0,0.0,0.8937500000000002,0.005103103630798315,8,1.0,0.0
0.43520673116048175,0.010536223607375564,0.01913936932881673,0.00011060675042281081,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 450}",0.8900379765070628,0.008020890228147011,10,1.0,0.0,0.8916666666666667,0.0077951195557790665,10,1.0,0.0,0.8916666666666666,0.007795119555779007,10,1.0,0.0
